Landlord/Tenant Disputes,4,80
Landlord/Tenant Disputes,5,80
Landlord/Tenant Disputes,6,89
Landlord/Tenant Disputes,7,111
Landlord/Tenant Disputes,8,118
Landlord/Tenant Disputes,9,89
Landlord/Tenant Disputes,10,63
Landlord/Tenant Disputes,11,71
Landlord/Tenant Disputes,12,57
Larceny,1,1919
Larceny,2,1617
Larceny,3,1723
Larceny,4,1842
Larceny,5,1981
Larceny,6,2522
Larceny,7,2994
Larceny,8,2972
Larceny,9,2187
Larceny,10,2138
Larceny,11,1961
Larceny,12,2079
Larceny From Motor Vehicle,1,808
Larceny From Motor Vehicle,2,641
Larceny From Motor Vehicle,3,697
Larceny From Motor Vehicle,4,754
Larceny From Motor Vehicle,5,784
Larceny From Motor Vehicle,6,1029
Larceny From Motor Vehicle,7,1269
Larceny From Motor Vehicle,8,1298
Larceny From Motor Vehicle,9,904
Larceny From Motor Vehicle,10,979
Larceny From Motor Vehicle,11,866
Larceny From Motor Vehicle,12,818
License Plate Related Incidents,1,41
License Plate Related Incidents,2,43
License Plate Related Incidents,3,53
License Plate Related Incidents,4,54
License Plate Related Incidents,5,42
License Plate Related Incidents,6,52
License Plate Related Incidents,7,72
License Plate Related Incidents,8,69
License Plate Related Incidents,9,47
License Plate Related Incidents,10,28
License Plate Related Incidents,11,25
License Plate Related Incidents,12,34
License Violation,1,124
License Violation,2,145
License Violation,3,205
License Violation,4,174
License Violation,5,118
License Violation,6,143
License Violation,7,156
License Violation,8,158
License Violation,9,113
License Violation,10,152
License Violation,11,118
License Violation,12,95
Liquor Violation,1,47
Liquor Violation,2,91
Liquor Violation,3,76
Liquor Violation,4,76
Liquor Violation,5,79
Liquor Violation,6,108
Liquor Violation,7,104
Liquor Violation,8,139
Liquor Violation,9,97
Liquor Violation,10,102
Liquor Violation,11,73
Liquor Violation,12,60
Manslaughter,1,2
Manslaughter,2,2
Manslaughter,4,1
Manslaughter,6,1
Manslaughter,10,1
Manslaughter,12,1
Medical Assistance,1,1827
Medical Assistance,2,1716
Medical Assistance,3,2001
Medical Assistance,4,1933
Medical Assistance,5,2210
Medical Assistance,6,2253
Medical Assistance,7,2394
Medical Assistance,8,2278
Medical Assistance,9,1820
Medical Assistance,10,1698
Medical Assistance,11,1699
Medical Assistance,12,1711
Missing Person Located,1,424
Missing Person Located,2,371
Missing Person Located,3,366
Missing Person Located,4,405
Missing Person Located,5,416
Missing Person Located,6,500
Missing Person Located,7,498
Missing Person Located,8,420
Missing Person Located,9,382
Missing Person Located,10,430
Missing Person Located,11,378
Missing Person Located,12,368
Missing Person Reported,1,303
Missing Person Reported,2,258
Missing Person Reported,3,246
Missing Person Reported,4,278
Missing Person Reported,5,299
Missing Person Reported,6,383
Missing Person Reported,7,407
Missing Person Reported,8,358
Missing Person Reported,9,319
Missing Person Reported,10,344
Missing Person Reported,11,306
Missing Person Reported,12,296
Motor Vehicle Accident Response,1,2746
Motor Vehicle Accident Response,2,2534
Motor Vehicle Accident Response,3,2909
Motor Vehicle Accident Response,4,2738
Motor Vehicle Accident Response,5,3030
Motor Vehicle Accident Response,6,3535
Motor Vehicle Accident Response,7,3841
Motor Vehicle Accident Response,8,3980
Motor Vehicle Accident Response,9,3043
Motor Vehicle Accident Response,10,3092
Motor Vehicle Accident Response,11,2711
Motor Vehicle Accident Response,12,2973
Offenses Against Child / Family,1,32
Offenses Against Child / Family,2,36
Offenses Against Child / Family,3,44
Offenses Against Child / Family,4,38
Offenses Against Child / Family,5,47
Offenses Against Child / Family,6,60
Offenses Against Child / Family,7,72
Offenses Against Child / Family,8,55
Offenses Against Child / Family,9,43
Offenses Against Child / Family,10,45
Offenses Against Child / Family,11,32
Offenses Against Child / Family,12,41
Operating Under the Influence,1,36
Operating Under the Influence,2,38
Operating Under the Influence,3,58
Operating Under the Influence,4,51
Operating Under the Influence,5,45
Operating Under the Influence,6,51
Operating Under the Influence,7,42
Operating Under the Influence,8,52
Operating Under the Influence,9,56
Operating Under the Influence,10,52
Operating Under the Influence,11,40
Operating Under the Influence,12,53
Other,1,1467
Other,2,1318
Other,3,1461
Other,4,1346
Other,5,1468
Other,6,1678
Other,7,1902
Other,8,2010
Other,9,1534
Other,10,1440
Other,11,1279
Other,12,1172
Other Burglary,1,28
Other Burglary,2,14
Other Burglary,3,32
Other Burglary,4,36
Other Burglary,5,45
Other Burglary,6,43
Other Burglary,7,54
Other Burglary,8,62
Other Burglary,9,49
Other Burglary,10,24
Other Burglary,11,33
Other Burglary,12,41
Phone Call Complaints,1,6
Phone Call Complaints,2,6
Phone Call Complaints,3,3
Phone Call Complaints,4,2
Phone Call Complaints,5,3
Phone Call Complaints,6,2
Phone Call Complaints,7,1
Phone Call Complaints,8,1
Phone Call Complaints,9,2
Phone Call Complaints,10,2
Phone Call Complaints,11,3
Police Service Incidents,1,262
Police Service Incidents,2,238
Police Service Incidents,3,248
Police Service Incidents,4,248
Police Service Incidents,5,234
Police Service Incidents,6,318
Police Service Incidents,7,265
Police Service Incidents,8,266
Police Service Incidents,9,173
Police Service Incidents,10,188
Police Service Incidents,11,152
Police Service Incidents,12,189
Prisoner Related Incidents,1,21
Prisoner Related Incidents,2,28
Prisoner Related Incidents,3,21
Prisoner Related Incidents,4,17
Prisoner Related Incidents,5,20
Prisoner Related Incidents,6,18
Prisoner Related Incidents,7,36
Prisoner Related Incidents,8,28
Prisoner Related Incidents,9,14
Prisoner Related Incidents,10,16
Prisoner Related Incidents,11,23
Prisoner Related Incidents,12,11
Property Found,1,260
